"VD編號","道路","位置","方向","星期","時段","預測當量","塞車機率"
"V6141E0","堤頂大道1段","堤頂上匝道入口","S","3","a",960,"0.27"
"V6141E0","堤頂大道1段","堤頂上匝道入口","S","3","p",1383,"0.93"
"V6141E0","堤頂大道1段","堤頂上匝道入口","S","4","a",939,"0.26"
"V6141E0","堤頂大道1段","堤頂上匝道入口","S","4","p",1449,"0.89"
"VSGRX60","堤頂大道2段","堤頂大道二段177號前","E","0","a",1876,"0.18"
"VSGRX60","堤頂大道2段","堤頂大道二段177號前","E","0","p",2442,"0.82"
"VSGRX60","堤頂大道2段","堤頂大道二段177號前","E","1","a",1838,"0.15"
"VSGRX60","堤頂大道2段","堤頂大道二段177號前","E","1","p",2430,"0.68"
"VSGRX60","堤頂大道2段","堤頂大道二段177號前","E","2","a",1921,"0.07"
"VSGRX60","堤頂大道2段","堤頂大道二段177號前","E","2","p",2548,"0.96"
"VSGRX60","堤頂大道2段","堤頂大道二段177號前","E","3","a",1874,"0.16"
"VSGRX60","堤頂大道2段","堤頂大道二段177號前","E","3","p",2477,"0.91"
"VSGRX60","堤頂大道2段","堤頂大道二段177號前","E","4","a",1818,"0.17"
"VSGRX60","堤頂大道2段","堤頂大道二段177號前","E","4","p",2426,"0.73"
"VSGRX60","堤頂大道2段","堤頂大道二段177號前","W","0","a",2274,"0.54"
"VSGRX60","堤頂大道2段","堤頂大道二段177號前","W","0","p",2945,"0.99"
"VSGRX60","堤頂大道2段","堤頂大道二段177號前","W","1","a",2286,"0.55"
"VSGRX60","堤頂大道2段","堤頂大道二段177號前","W","1","p",2865,"0.89"
"VSGRX60","堤頂大道2段","堤頂大道二段177號前","W","2","a",2330,"0.67"
"VSGRX60","堤頂大道2段","堤頂大道二段177號前","W","2","p",3080,"1"
"VSGRX60","堤頂大道2段","堤頂大道二段177號前","W","3","a",2295,"0.56"
"VSGRX60","堤頂大道2段","堤頂大道二段177號前","W","3","p",3003,"1"
"VSGRX60","堤頂大道2段","堤頂大道二段177號前","W","4","a",2232,"0.5"
"VSGRX60","堤頂大道2段","堤頂大道二段177號前","W","4","p",3112,"1"
"VS7SN60","堤頂大道2段","堤頂大道二段251號前","W","0","a",1580,"0.03"
"VS7SN60","堤頂大道2段","堤頂大道二段251號前","W","0","p",1783,"0.01"
"VS7SN60","堤頂大道2段","堤頂大道二段251號前","W","1","a",1583,"0.04"
"VS7SN60","堤頂大道2段","堤頂大道二段251號前","W","1","p",1766,"0.14"
"VS7SN60","堤頂大道2段","堤頂大道二段251號前","W","2","a",1576,"0.01"
"VS7SN60","堤頂大道2段","堤頂大道二段251號前","W","2","p",1855,"0.03"
"VS7SN60","堤頂大道2段","堤頂大道二段251號前","W","3","a",1593,"0.05"
"VS7SN60","堤頂大道2段","堤頂大道二段251號前","W","3","p",1820,"0.05"
"VS7SN60","堤頂大道2段","堤頂大道二段251號前","W","4","a",1546,"0.05"
"VS7SN60","堤頂大道2段","堤頂大道二段251號前","W","4","p",1895,"0.12"
"VSPRA60","堤頂大道2段","堤頂大道二段285號前","W","0","a",1707,"0.53"
"VSPRA60","堤頂大道2段","堤頂大道二段285號前","W","0","p",1867,"0.88"
"VSPRA60","堤頂大道2段","堤頂大道二段285號前","W","1","a",1671,"0.49"
"VSPRA60","堤頂大道2段","堤頂大道二段285號前","W","1","p",1834,"0.69"
"VSPRA60","堤頂大道2段","堤頂大道二段285號前","W","2","a",1697,"0.53"
"VSPRA60","堤頂大道2段","堤頂大道二段285號前","W","2","p",1943,"0.97"
"VSPRA60","堤頂大道2段","堤頂大道二段285號前","W","3","a",1679,"0.5"
"VSPRA60","堤頂大道2段","堤頂大道二段285號前","W","3","p",1883,"0.89"
"VSPRA60","堤頂大道2段","堤頂大道二段285號前","W","4","a",1629,"0.44"
"VSPRA60","堤頂大道2段","堤頂大道二段285號前","W","4","p",1964,"0.92"
"VT5QV00","堤頂大道2段","堤頂大道二段344號對面人行道","N","0","a",1031,"0.24"
"VT5QV00","堤頂大道2段","堤頂大道二段344號對面人行道","N","0","p",1338,"0.41"
"VT5QV00","堤頂大道2段","堤頂大道二段344號對面人行道","N","1","a",1041,"0.26"
"VT5QV00","堤頂大道2段","堤頂大道二段344號對面人行道","N","1","p",1473,"0.52"
"VT5QV00","堤頂大道2段","堤頂大道二段344號對面人行道","N","2","a",945,"0.13"
"VT5QV00","堤頂大道2段","堤頂大道二段344號對面人行道","N","2","p",1440,"0.5"
"VT5QV00","堤頂大道2段","堤頂大道二段344號對面人行道","N","3","a",963,"0.15"
"VT5QV00","堤頂大道2段","堤頂大道二段344號對面人行道","N","3","p",1462,"0.52"
"VT5QV00","堤頂大道2段","堤頂大道二段344號對面人行道","N","4","a",882,"0.08"
"VT5QV00","堤頂大道2段","堤頂大道二段344號對面人行道","N","4","p",1552,"0.64"
"VT5QV00","堤頂大道2段","堤頂大道二段344號對面人行道","S","0","a",772,"0.04"
"VT5QV00","堤頂大道2段","堤頂大道二段344號對面人行道","S","0","p",746,"0.02"
"VT5QV00","堤頂大道2段","堤頂大道二段344號對面人行道","S","1","a",657,"0.01"
"VT5QV00","堤頂大道2段","堤頂大道二段344號對面人行道","S","1","p",782,"0.07"
"VT5QV00","堤頂大道2段","堤頂大道二段344號對面人行道","S","2","a",632,"0"
"VT5QV00","堤頂大道2段","堤頂大道二段344號對面人行道","S","2","p",789,"0.05"
"VT5QV00","堤頂大道2段","堤頂大道二段344號對面人行道","S","3","a",739,"0.12"
"VT5QV00","堤頂大道2段","堤頂大道二段344號對面人行道","S","3","p",760,"0.05"
"VT5QV00","堤頂大道2段","堤頂大道二段344號對面人行道","S","4","a",566,"0"
"VT5QV00","堤頂大道2段","堤頂大道二段344號對面人行道","S","4","p",853,"0.06"
"VTXQL00","堤頂大道2段","堤頂大道二段489-501號中間空地前","N","0","a",839,"0"
"VTXQL00","堤頂大道2段","堤頂大道二段489-501號中間空地前","N","0","p",1155,"0.24"
"VTXQL00","堤頂大道2段","堤頂大道二段489-501號中間空地前","N","1","a",786,"0.01"
"VTXQL00","堤頂大道2段","堤頂大道二段489-501號中間空地前","N","1","p",1052,"0.06"
"VTXQL00","堤頂大道2段","堤頂大道二段489-501號中間空地前","N","2","a",736,"0"
"VTXQL00","堤頂大道2段","堤頂大道二段489-501號中間空地前","N","2","p",1127,"0"
"VTXQL00","堤頂大道2段","堤頂大道二段489-501號中間空地前","N","3","a",792,"0"
"VTXQL00","堤頂大道2段","堤頂大道二段489-501號中間空地前","N","3","p",1088,"0"
"VTXQL00","堤頂大道2段","堤頂大道二段489-501號中間空地前","N","4","a",717,"0"
"VTXQL00","堤頂大道2段","堤頂大道二段489-501號中間空地前","N","4","p",1134,"0.03"
"VTXQL00","堤頂大道2段","堤頂大道二段489-501號中間空地前","S","0","a",1168,"0.25"
"VTXQL00","堤頂大道2段","堤頂大道二段489-501號中間空地前","S","0","p",828,"0"
"VTXQL00","堤頂大道2段","堤頂大道二段489-501號中間空地前","S","1","a",993,"0.08"
"VTXQL00","堤頂大道2段","堤頂大道二段489-501號中間空地前","S","1","p",849,"0"
"VTXQL00","堤頂大道2段","堤頂大道二段489-501號中間空地前","S","2","a",1003,"0.02"
"VTXQL00","堤頂大道2段","堤頂大道二段489-501號中間空地前","S","2","p",860,"0"
"VTXQL00","堤頂大道2段","堤頂大道二段489-501號中間空地前","S","3","a",1061,"0.05"
"VTXQL00","堤頂大道2段","堤頂大道二段489-501號中間空地前","S","3","p",826,"0"
"VTXQL00","堤頂大道2段","堤頂大道二段489-501號中間空地前","S","4","a",995,"0.03"
"VTXQL00","堤頂大道2段","堤頂大道二段489-501號中間空地前","S","4","p",900,"0"
"VPMSV40","堤頂大道1段","堤頂大道二段內湖污水處理場停車場出口右側","N","0","a",3972,"0.64"
"VPMSV40","堤頂大道1段","堤頂大道二段內湖污水處理場停車場出口右側","N","0","p",3508,"0.4"
"VPMSV40","堤頂大道1段","堤頂大道二段內湖污水處理場停車場出口右側","N","1","a",3910,"0.61"
"VPMSV40","堤頂大道1段","堤頂大道二段內湖污水處理場停車場出口右側","N","1","p",3592,"0.45"
"VPMSV40","堤頂大道1段","堤頂大道二段內湖污水處理場停車場出口右側","N","2","a",3957,"0.68"
"VPMSV40","堤頂大道1段","堤頂大道二段內湖污水處理場停車場出口右側","N","2","p",3792,"0.65"
"VPMSV40","堤頂大道1段","堤頂大道二段內湖污水處理場停車場出口右側","N","3","a",3853,"0.59"
"VPMSV40","堤頂大道1段","堤頂大道二段內湖污水處理場停車場出口右側","N","3","p",3756,"0.59"
"VPMSV40","堤頂大道1段","堤頂大道二段內湖污水處理場停車場出口右側","N","4","a",3723,"0.52"
"VPMSV40","堤頂大道1段","堤頂大道二段內湖污水處理場停車場出口右側","N","4","p",3907,"0.68"
"VPMSV40","堤頂大道1段","堤頂大道二段內湖污水處理場停車場出口右側","S","0","a",2406,"0.13"
"VPMSV40","堤頂大道1段","堤頂大道二段內湖污水處理場停車場出口右側","S","0","p",3022,"0.27"
"VPMSV40","堤頂大道1段","堤頂大道二段內湖污水處理場停車場出口右側","S","1","a",2396,"0.11"
"VPMSV40","堤頂大道1段","堤頂大道二段內湖污水處理場停車場出口右側","S","1","p",3015,"0.29"
"VPMSV40","堤頂大道1段","堤頂大道二段內湖污水處理場停車場出口右側","S","2","a",2531,"0.1"
"VPMSV40","堤頂大道1段","堤頂大道二段內湖污水處理場停車場出口右側","S","2","p",3251,"0.35"
"VPMSV40","堤頂大道1段","堤頂大道二段內湖污水處理場停車場出口右側","S","3","a",2485,"0.12"
"VPMSV40","堤頂大道1段","堤頂大道二段內湖污水處理場停車場出口右側","S","3","p",3082,"0.31"
"VPMSV40","堤頂大道1段","堤頂大道二段內湖污水處理場停車場出口右側","S","4","a",2447,"0.11"
"VPMSV40","堤頂大道1段","堤頂大道二段內湖污水處理場停車場出口右側","S","4","p",3120,"0.34"
"VRPSV00","堤頂大道1段","堤頂大道二段與舊宗路二段路口槽化島","N","0","a",3721,"0.93"
"VRPSV00","堤頂大道1段","堤頂大道二段與舊宗路二段路口槽化島","N","0","p",3358,"1"
"VRPSV00","堤頂大道1段","堤頂大道二段與舊宗路二段路口槽化島","N","1","a",3709,"0.94"
"VRPSV00","堤頂大道1段","堤頂大道二段與舊宗路二段路口槽化島","N","1","p",3347,"0.92"
"VRPSV00","堤頂大道1段","堤頂大道二段與舊宗路二段路口槽化島","N","2","a",3771,"0.98"
"VRPSV00","堤頂大道1段","堤頂大道二段與舊宗路二段路口槽化島","N","2","p",3525,"1"
"VRPSV00","堤頂大道1段","堤頂大道二段與舊宗路二段路口槽化島","N","3","a",3642,"0.92"
"VRPSV00","堤頂大道1段","堤頂大道二段與舊宗路二段路口槽化島","N","3","p",3526,"1"
"VRPSV00","堤頂大道1段","堤頂大道二段與舊宗路二段路口槽化島","N","4","a",3548,"0.88"
"VRPSV00","堤頂大道1段","堤頂大道二段與舊宗路二段路口槽化島","N","4","p",3551,"1"
"VRPSV00","堤頂大道1段","堤頂大道二段與舊宗路二段路口槽化島","S","0","a",2870,"0.74"
"VRPSV00","堤頂大道1段","堤頂大道二段與舊宗路二段路口槽化島","S","0","p",3777,"1"
"VRPSV00","堤頂大道1段","堤頂大道二段與舊宗路二段路口槽化島","S","1","a",2787,"0.7"
"VRPSV00","堤頂大道1段","堤頂大道二段與舊宗路二段路口槽化島","S","1","p",3732,"0.98"
"VRPSV00","堤頂大道1段","堤頂大道二段與舊宗路二段路口槽化島","S","2","a",2857,"0.81"
"VRPSV00","堤頂大道1段","堤頂大道二段與舊宗路二段路口槽化島","S","2","p",3897,"1"
"VRPSV00","堤頂大道1段","堤頂大道二段與舊宗路二段路口槽化島","S","3","a",2783,"0.69"
"VRPSV00","堤頂大道1段","堤頂大道二段與舊宗路二段路口槽化島","S","3","p",3802,"1"
"VRPSV00","堤頂大道1段","堤頂大道二段與舊宗路二段路口槽化島","S","4","a",2698,"0.63"
"VRPSV00","堤頂大道1段","堤頂大道二段與舊宗路二段路口槽化島","S","4","p",3803,"1"
"V6120C0","麥帥二橋","市民麥二","E","0","a",4076,"0.97"
"V6120C0","麥帥二橋","市民麥二","E","0","p",4118,"1"
"V6120C0","麥帥二橋","市民麥二","E","1","a",4167,"0.96"
"V6120C0","麥帥二橋","市民麥二","E","1","p",3982,"0.95"
"V6120C0","麥帥二橋","市民麥二","E","2","a",4334,"1"
"V6120C0","麥帥二橋","市民麥二","E","2","p",4163,"1"
"V6120C0","麥帥二橋","市民麥二","E","3","a",4209,"0.98"
"V6120C0","麥帥二橋","市民麥二","E","3","p",4078,"1"
"V6120C0","麥帥二橋","市民麥二","E","4","a",4121,"0.95"
"V6120C0","麥帥二橋","市民麥二","E","4","p",4142,"0.98"
"VTZY920","成功路四段","成功路(金龍路-康湖路)-成功路4段323巷口路燈桿(已附掛市警局CCTV)","E","0","a",848,"0.35"
"VTZY920","成功路四段","成功路(金龍路-康湖路)-成功路4段323巷口路燈桿(已附掛市警局CCTV)","E","0","p",1352,"0.99"
"VTZY920","成功路四段","成功路(金龍路-康湖路)-成功路4段323巷口路燈桿(已附掛市警局CCTV)","E","1","a",858,"0.4"
"VTZY920","成功路四段","成功路(金龍路-康湖路)-成功路4段323巷口路燈桿(已附掛市警局CCTV)","E","1","p",1389,"0.98"
"VTZY920","成功路四段","成功路(金龍路-康湖路)-成功路4段323巷口路燈桿(已附掛市警局CCTV)","E","2","a",863,"0.41"
"VTZY920","成功路四段","成功路(金龍路-康湖路)-成功路4段323巷口路燈桿(已附掛市警局CCTV)","E","2","p",1399,"1"
"VTZY920","成功路四段","成功路(金龍路-康湖路)-成功路4段323巷口路燈桿(已附掛市警局CCTV)","E","3","a",835,"0.3"
"VTZY920","成功路四段","成功路(金龍路-康湖路)-成功路4段323巷口路燈桿(已附掛市警局CCTV)","E","3","p",1387,"1"
"VTZY920","成功路四段","成功路(金龍路-康湖路)-成功路4段323巷口路燈桿(已附掛市警局CCTV)","E","4","a",845,"0.39"
"VTZY920","成功路四段","成功路(金龍路-康湖路)-成功路4段323巷口路燈桿(已附掛市警局CCTV)","E","4","p",1371,"1"
"VQ6WK40","成功路2段","成功路2段312巷(單號)對面","N","0","a",2580,"0.99"
"VQ6WK40","成功路2段","成功路2段312巷(單號)對面","N","0","p",2537,"1"
"VQ6WK40","成功路2段","成功路2段312巷(單號)對面","N","1","a",2648,"1"
"VQ6WK40","成功路2段","成功路2段312巷(單號)對面","N","1","p",2483,"0.99"
"VQ6WK40","成功路2段","成功路2段312巷(單號)對面","N","2","a",2645,"1"
"VQ6WK40","成功路2段","成功路2段312巷(單號)對面","N","2","p",2553,"1"
"VQ6WK40","成功路2段","成功路2段312巷(單號)對面","N","3","a",2611,"0.99"
"VQ6WK40","成功路2段","成功路2段312巷(單號)對面","N","3","p",2522,"1"
"VQ6WK40","成功路2段","成功路2段312巷(單號)對面","N","4","a",2553,"0.98"
"VQ6WK40","成功路2段","成功路2段312巷(單號)對面","N","4","p",2553,"1"
"VQ6WK40","成功路2段","成功路2段312巷(單號)對面","S","0","a",3402,"1"
"VQ6WK40","成功路2段","成功路2段312巷(單號)對面","S","0","p",3421,"1"
"VQ6WK40","成功路2段","成功路2段312巷(單號)對面","S","1","a",3392,"1"
"VQ6WK40","成功路2段","成功路2段312巷(單號)對面","S","1","p",3381,"1"
"VQ6WK40","成功路2段","成功路2段312巷(單號)對面","S","2","a",3461,"1"
"VQ6WK40","成功路2段","成功路2段312巷(單號)對面","S","2","p",3480,"1"
"VQ6WK40","成功路2段","成功路2段312巷(單號)對面","S","3","a",3425,"1"
"VQ6WK40","成功路2段","成功路2段312巷(單號)對面","S","3","p",3429,"1"
"VQ6WK40","成功路2段","成功路2段312巷(單號)對面","S","4","a",3336,"0.99"
"VQ6WK40","成功路2段","成功路2段312巷(單號)對面","S","4","p",3496,"1"
"VSSWC60","成功路3段","成功路3段152號前路燈桿","W","0","a",1834,"0.7"
"VSSWC60","成功路3段","成功路3段152號前路燈桿","W","0","p",1558,"0.4"
"VSSWC60","成功路3段","成功路3段152號前路燈桿","W","1","a",1805,"0.67"
"VSSWC60","成功路3段","成功路3段152號前路燈桿","W","1","p",1622,"0.53"
"VSSWC60","成功路3段","成功路3段152號前路燈桿","W","2","a",1749,"0.64"
"VSSWC60","成功路3段","成功路3段152號前路燈桿","W","2","p",1548,"0.36"
"VSSWC60","成功路3段","成功路3段152號前路燈桿","W","3","a",1827,"0.7"
"VSSWC60","成功路3段","成功路3段152號前路燈桿","W","3","p",1567,"0.41"
"VSSWC60","成功路3段","成功路3段152號前路燈桿","W","4","a",1787,"0.65"
"VSSWC60","成功路3段","成功路3段152號前路燈桿","W","4","p",1651,"0.63"
"VSHZU60","成功路五段","成功路5段康湖路口前CMS桿","W","0","a",720,"0.02"
"VSHZU60","成功路五段","成功路5段康湖路口前CMS桿","W","0","p",1005,"0.32"
"VSHZU60","成功路五段","成功路5段康湖路口前CMS桿","W","1","a",756,"0.03"
"VSHZU60","成功路五段","成功路5段康湖路口前CMS桿","W","1","p",976,"0.35"
"VSHZU60","成功路五段","成功路5段康湖路口前CMS桿","W","2","a",741,"0.02"
"VSHZU60","成功路五段","成功路5段康湖路口前CMS桿","W","2","p",1001,"0.34"
"VSHZU60","成功路五段","成功路5段康湖路口前CMS桿","W","3","a",729,"0.03"
"VSHZU60","成功路五段","成功路5段康湖路口前CMS桿","W","3","p",980,"0.29"
"VSHZU60","成功路五段","成功路5段康湖路口前CMS桿","W","4","a",729,"0.03"
"VSHZU60","成功路五段","成功路5段康湖路口前CMS桿","W","4","p",1028,"0.43"
"VQKWL40","成功路2段","成功路二段373號前","N","0","a",1947,"0.67"
"VQKWL40","成功路2段","成功路二段373號前","N","0","p",2431,"0.97"
"VQKWL40","成功路2段","成功路二段373號前","N","1","a",1971,"0.68"
"VQKWL40","成功路2段","成功路二段373號前","N","1","p",2389,"0.93"
"VQKWL40","成功路2段","成功路二段373號前","N","2","a",1960,"0.68"
"VQKWL40","成功路2段","成功路二段373號前","N","2","p",2506,"0.98"
"VQKWL40","成功路2段","成功路二段373號前","N","3","a",1954,"0.67"
"VQKWL40","成功路2段","成功路二段373號前","N","3","p",2455,"0.99"
"VQKWL40","成功路2段","成功路二段373號前","N","4","a",1958,"0.66"
"VQKWL40","成功路2段","成功路二段373號前","N","4","p",2512,"0.99"
"VQKWL40","成功路2段","成功路二段373號前","S","0","a",3027,"0.96"
"VQKWL40","成功路2段","成功路二段373號前","S","0","p",2289,"0.98"
"VQKWL40","成功路2段","成功路二段373號前","S","1","a",3025,"0.96"
"VQKWL40","成功路2段","成功路二段373號前","S","1","p",2244,"0.88"
"VQKWL40","成功路2段","成功路二段373號前","S","2","a",3056,"0.98"
"VQKWL40","成功路2段","成功路二段373號前","S","2","p",2319,"0.98"
"VQKWL40","成功路2段","成功路二段373號前","S","3","a",3065,"0.97"
"VQKWL40","成功路2段","成功路二段373號前","S","3","p",2266,"0.96"
"VQKWL40","成功路2段","成功路二段373號前","S","4","a",3045,"0.96"
"VQKWL40","成功路2段","成功路二段373號前","S","4","p",2444,"0.97"
"VQKWL00","成功路2段","成功路二段380號旁","N","0","a",2443,"1"
"VQKWL00","成功路2段","成功路二段380號旁","N","0","p",2224,"1"
"VQKWL00","成功路2段","成功路二段380號旁","N","1","a",2449,"1"
"VQKWL00","成功路2段","成功路二段380號旁","N","1","p",2221,"0.99"
"VQKWL00","成功路2段","成功路二段380號旁","N","2","a",2441,"1"
"VQKWL00","成功路2段","成功路二段380號旁","N","2","p",2235,"1"
"VQKWL00","成功路2段","成功路二段380號旁","N","3","a",2401,"0.98"
"VQKWL00","成功路2段","成功路二段380號旁","N","3","p",2235,"1"
"VQKWL00","成功路2段","成功路二段380號旁","N","4","a",2358,"0.97"
"VQKWL00","成功路2段","成功路二段380號旁","N","4","p",2210,"1"
"VQKWL00","成功路2段","成功路二段380號旁","S","0","a",2867,"1"
"VQKWL00","成功路2段","成功路二段380號旁","S","0","p",2974,"1"
"VQKWL00","成功路2段","成功路二段380號旁","S","1","a",2892,"1"
"VQKWL00","成功路2段","成功路二段380號旁","S","1","p",2913,"1"
"VQKWL00","成功路2段","成功路二段380號旁","S","2","a",2855,"1"
"VQKWL00","成功路2段","成功路二段380號旁","S","2","p",3000,"1"
"VQKWL00","成功路2段","成功路二段380號旁","S","3","a",2835,"1"
"VQKWL00","成功路2段","成功路二段380號旁","S","3","p",2892,"1"
"VQKWL00","成功路2段","成功路二段380號旁","S","4","a",2751,"0.98"
"VQKWL00","成功路2段","成功路二段380號旁","S","4","p",2925,"1"
"VTXQJ20","內湖路1段","文湖街對面(捷運柱號0218)路燈桿","E","0","a",3927,"0.87"
"VTXQJ20","內湖路1段","文湖街對面(捷運柱號0218)路燈桿","E","0","p",3376,"0.76"
"VTXQJ20","內湖路1段","文湖街對面(捷運柱號0218)路燈桿","E","1","a",3986,"0.9"
"VTXQJ20","內湖路1段","文湖街對面(捷運柱號0218)路燈桿","E","1","p",3477,"0.76"
"VTXQJ20","內湖路1段","文湖街對面(捷運柱號0218)路燈桿","E","2","a",4092,"0.97"
"VTXQJ20","內湖路1段","文湖街對面(捷運柱號0218)路燈桿","E","2","p",3553,"0.81"
"VTXQJ20","內湖路1段","文湖街對面(捷運柱號0218)路燈桿","E","3","a",4015,"0.91"
"VTXQJ20","內湖路1段","文湖街對面(捷運柱號0218)路燈桿","E","3","p",3419,"0.79"
"VTXQJ20","內湖路1段","文湖街對面(捷運柱號0218)路燈桿","E","4","a",3890,"0.85"
"VTXQJ20","內湖路1段","文湖街對面(捷運柱號0218)路燈桿","E","4","p",3577,"0.81"
"VQEUU60","民權東路六段","民權東路六段(中天電視對面)","E","0","a",2646,"0.95"
"VQEUU60","民權東路六段","民權東路六段(中天電視對面)","E","0","p",2995,"1"
"VQEUU60","民權東路六段","民權東路六段(中天電視對面)","E","1","a",2687,"0.97"
"VQEUU60","民權東路六段","民權東路六段(中天電視對面)","E","1","p",3104,"0.96"
"VQEUU60","民權東路六段","民權東路六段(中天電視對面)","E","2","a",2752,"1"
"VQEUU60","民權東路六段","民權東路六段(中天電視對面)","E","2","p",3088,"1"
"VQEUU60","民權東路六段","民權東路六段(中天電視對面)","E","3","a",2694,"0.98"
"VQEUU60","民權東路六段","民權東路六段(中天電視對面)","E","3","p",3060,"1"
"VQEUU60","民權東路六段","民權東路六段(中天電視對面)","E","4","a",2636,"0.94"
"VQEUU60","民權東路六段","民權東路六段(中天電視對面)","E","4","p",3215,"1"
"VQEUU60","民權東路六段","民權東路六段(中天電視對面)","W","0","a",2425,"0.92"
"VQEUU60","民權東路六段","民權東路六段(中天電視對面)","W","0","p",2505,"0.96"
"VQEUU60","民權東路六段","民權東路六段(中天電視對面)","W","1","a",2479,"0.94"
"VQEUU60","民權東路六段","民權東路六段(中天電視對面)","W","1","p",2575,"0.94"
"VQEUU60","民權東路六段","民權東路六段(中天電視對面)","W","2","a",2559,"0.99"
"VQEUU60","民權東路六段","民權東路六段(中天電視對面)","W","2","p",2471,"1"
"VQEUU60","民權東路六段","民權東路六段(中天電視對面)","W","3","a",2452,"0.93"
"VQEUU60","民權東路六段","民權東路六段(中天電視對面)","W","3","p",2451,"0.98"
"VQEUU60","民權東路六段","民權東路六段(中天電視對面)","W","4","a",2497,"0.85"
"VQEUU60","民權東路六段","民權東路六段(中天電視對面)","W","4","p",2447,"0.94"
"VQKWL60","民權東路六段","民權東路六段(防災科學教育館對面)","E","0","a",170,"0"
"VQKWL60","民權東路六段","民權東路六段(防災科學教育館對面)","E","0","p",113,"0"
"VQKWL60","民權東路六段","民權東路六段(防災科學教育館對面)","E","1","a",126,"0"
"VQKWL60","民權東路六段","民權東路六段(防災科學教育館對面)","E","1","p",141,"0"
"VQKWL60","民權東路六段","民權東路六段(防災科學教育館對面)","E","2","a",159,"0"
"VQKWL60","民權東路六段","民權東路六段(防災科學教育館對面)","E","2","p",114,"0"
